statusId|sensorName|[value-x,value-y,value-z]|timestamp
218|Samsung Linear Acceleration Sensor|[-0.12462738,0.36178616,0.32502556]|1566265861389
218|Samsung Linear Acceleration Sensor|[-0.34010553,0.019415319,0.74281406]|1566265861398
218|K6DS3TR Gyroscope|[-0.0047647506,0.034355056,0.01269378]|1566265861406
218|Samsung Linear Acceleration Sensor|[-0.3077838,0.1522935,0.46388912]|1566265861409
218|K6DS3TR Accelerometer|[0.2621651,-0.49081135,10.232818]|1566265861408
218|K6DS3TR Gyroscope|[-0.012706,-0.032840118,-0.0031887165]|1566265861416
218|Samsung Linear Acceleration Sensor|[-0.40235478,0.33305573,0.15503788]|1566265861419
218|K6DS3TR Accelerometer|[0.16759412,-0.31004912,9.923966]|1566265861419
218|K6DS3TR Gyroscope|[-0.007208213,0.020305157,0.008417723]|1566265861426
218|Samsung Linear Acceleration Sensor|[0.05493772,-0.06198758,0.9415331]|1566265861428
218|K6DS3TR Accelerometer|[0.62488663,-0.70509243,10.710462]|1566265861429
218|K6DS3TR Gyroscope|[-0.028588496,0.016639967,0.0108611835]|1566265861437
218|K6DS3TR Accelerometer|[0.18914193,-0.9923966,10.0664215]|1566265861439
218|Samsung Linear Acceleration Sensor|[0.0058009326,-0.030442417,0.30878735]|1566265861438
218|K6DS3TR Gyroscope|[0.018448127,-0.02123368,0.0108611835]|1566265861446
218|K6DS3TR Accelerometer|[0.45010993,-0.2908955,10.102334]|1566265861448
218|Samsung Linear Acceleration Sensor|[0.013787359,-0.008911848,0.30945492]|1566265861449
218|K6DS3TR Gyroscope|[-0.0267559,0.004422661,0.0108611835]|1566265861456
218|K6DS3TR Accelerometer|[0.11372458,-0.6607997,10.119094]|1566265861458
218|Samsung Linear Acceleration Sensor|[0.0037486702,-0.021808743,0.3339014]|1566265861458
218|K6DS3TR Gyroscope|[0.003787361,-0.0120707005,0.007195993]|1566265861467
218|K6DS3TR Accelerometer|[0.29209262,-0.37948096,10.160992]|1566265861469
218|Samsung Linear Acceleration Sensor|[0.010503203,-0.013632178,0.36521435]|1566265861469
218|K6DS3TR Gyroscope|[0.0050090924,0.0038117953,-7.452556E-4]|1566265861476
218|K6DS3TR Accelerometer|[0.16519992,-0.36152446,9.894038]|1566265861478
218|Samsung Linear Acceleration Sensor|[0.0015936494,-0.0034820735,0.09529209]|1566265861478
218|K6DS3TR Gyroscope|[0.0043982267,-0.014514161,-0.020903809]|1566265861487
218|K6DS3TR Accelerometer|[0.33638534,-0.142455,9.989806]|1566265861489
218|Samsung Linear Acceleration Sensor|[0.0063862205,-0.0027073324,0.18970585]|1566265861488
218|K6DS3TR Gyroscope|[-0.010262538,0.018472563,-0.015406022]|1566265861496
218|K6DS3TR Accelerometer|[0.1448492,-0.63087213,9.76954]|1566265861498
218|Samsung Linear Acceleration Sensor|[-2.3335218E-4,0.0010079741,-0.015656471]|1566265861499
218|K6DS3TR Gyroscope|[0.011728611,-0.00840551,-0.019071212]|1566265861507
218|K6DS3TR Accelerometer|[0.25737667,-0.2896984,9.92636]|1566265861508
218|Samsung Linear Acceleration Sensor|[0.0032998025,-0.0037041306,0.12717438]|1566265861508
218|K6DS3TR Gyroscope|[-0.0047647506,-0.0016859919,-0.015406022]|1566265861516
